a_val,v_val,x_val,y_val,z_val
1951,6.1,5449548,1360368,40485
1951,6.7,6810263,168863,14429
1951,6.1,6905017,263617,27148
1951,6,7051941,410541,76261
1951,6.2,7446456,805056,39423
1951,6,7637378,995978,42253
1951,6.1,7676936,1035536,25919
1951,6,8813623,2172223,65636
1951,6.1,8892579,2251179,29209
1951,6.2,9543342,345882,84196
1951,6.3,9800083,602623,65450
1951,6.1,9864608,667148,32190
1951,7.1,9898382,700922,81564
1951,6.4,9934856,737396,21382
1951,6,10553864,1356404,35762
1951,6.5,10630343,1432883,52223
1951,6.1,10651814,1454354,67352
1951,6.5,11287690,2090230,6291
1951,6.8,11336562,2139102,53989
1951,6.3,11463423,2265963,77844
1951,6.1,12129514,373414,41595
1951,6.1,12173577,417477,60273
1951,6,12547119,791019,2353
1951,6,12665174,909074,81081
1951,6,13708763,1952663,78367
1951,6.3,13759395,2003295,55331
1951,6.1,13895827,2139727,15807
1951,6.2,13985759,2229659,18012
1951,6.1,14107676,2351576,52490
1951,6.7,14403465,87465,6177
1951,6.4,14487056,171056,56123
1951,6.3,14597941,281941,40500
1951,6.1,15717022,1401022,21413
1951,6.1,16023346,1707346,74626
1951,6.1,16127016,1811016,6204
1951,6.25,16128757,1812757,22333
1951,6,16693578,2377578,48368
1951,6.1,16753597,2437597,36368
1951,6.5,17214263,338183,50035
1951,6,17280233,404153,63448
1951,7.1,17518919,642839,13176
1951,6.9,18090378,1214298,26312
1951,6.1,18784799,1908719,70300
1951,6.2,19004675,2128595,31024
1951,6.1,19092765,2216685,29446
1951,6.2,19390564,2514484,9396
1951,6.1,19441437,6297,66855
1951,6.1,19753848,318708,4924
1951,6.2,20293801,858661,23543
1951,7,20370818,935678,74728
1951,6.1,20749096,1313956,43283
1951,6.9,21034617,1599477,1985
1951,6.1,21977348,2542208,5005
1951,6.1,22653841,662101,61796
1951,6.1,22950624,958884,4438
1951,6.1,23371069,1379329,1683
1951,6,23591456,1599716,47771
1951,6.1,23980236,1988496,85027
1951,6,24261855,2270115,38930
1951,6.1,24331047,2339307,10179
1951,6.5,24362922,2371182,42040
1951,6.2,24925050,380490,85830
